Time,Phrase,Site,Count
2017-3-27 18:19:17,Notre,http://www.cnn.com/,0
2017-3-27 18:19:17,Cub Scouts,http://www.cnn.com/,0
2017-3-27 18:19:17,CSE30341,http://www.cnn.com/,0
2017-3-27 18:19:17,Operating,http://www.cnn.com/,0
2017-3-27 18:19:17,Systems,http://www.cnn.com/,0
2017-3-27 18:19:17,Striegel,http://www.cnn.com/,0
2017-3-27 18:19:17,Thain,http://www.cnn.com/,0
2017-3-27 18:19:17,the,http://www.cnn.com/,136
2017-3-27 18:19:17,Notre,http://www.nd.edu/,113
2017-3-27 18:19:17,Cub Scouts,http://www.nd.edu/,0
2017-3-27 18:19:17,CSE30341,http://www.nd.edu/,0
2017-3-27 18:19:17,Operating,http://www.nd.edu/,0
2017-3-27 18:19:17,Systems,http://www.nd.edu/,0
2017-3-27 18:19:17,Striegel,http://www.nd.edu/,0
2017-3-27 18:19:17,Thain,http://www.nd.edu/,0
2017-3-27 18:19:17,the,http://www.nd.edu/,155
